"","Package","Item","Title","Rows","Cols","has_logical","has_binary","has_numeric","has_character","has_factor"
"29","boot","frets","Head Dimensions in Brothers",25,4,FALSE,"FALSE",TRUE,FALSE,FALSE
"30","boot","grav","Acceleration Due to Gravity",26,2,FALSE,"TRUE",TRUE,FALSE,TRUE
"31","boot","gravity","Acceleration Due to Gravity",81,2,FALSE,"FALSE",TRUE,FALSE,TRUE
"32","boot","hirose","Failure Time of PET Film",44,3,FALSE,"TRUE",TRUE,FALSE,FALSE
"33","boot","islay","Jura Quartzite Azimuths on Islay",18,1,FALSE,"FALSE",TRUE,FALSE,FALSE
"34","boot","manaus","Average Heights of the Rio Negro river at Manaus",1080,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"35","boot","melanoma","Survival from Malignant Melanoma",205,7,FALSE,"TRUE",TRUE,FALSE,FALSE
"36","boot","motor","Data from a Simulated Motorcycle Accident",94,4,FALSE,"FALSE",TRUE,FALSE,FALSE
"37","boot","neuro","Neurophysiological Point Process Data",469,6,FALSE,"FALSE",TRUE,FALSE,FALSE
"38","boot","nitrofen","Toxicity of Nitrofen in Aquatic Systems",50,5,FALSE,"FALSE",TRUE,FALSE,FALSE
"39","boot","nodal","Nodal Involvement in Prostate Cancer",53,7,FALSE,"TRUE",TRUE,FALSE,FALSE
"40","boot","nuclear","Nuclear Power Station Construction Data",32,11,FALSE,"TRUE",TRUE,FALSE,FALSE
"41","boot","paulsen","Neurotransmission in Guinea Pig Brains",346,1,FALSE,"FALSE",TRUE,FALSE,FALSE
"42","boot","poisons","Animal Survival Times",48,3,FALSE,"FALSE",TRUE,FALSE,TRUE
"43","boot","polar","Pole Positions of New Caledonian Laterites",50,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"44","boot","remission","Cancer Remission and Cell Activity",27,3,FALSE,"TRUE",TRUE,FALSE,FALSE
"45","boot","salinity","Water Salinity and River Discharge",28,4,FALSE,"FALSE",TRUE,FALSE,FALSE
"46","boot","survival","Survival of Rats after Radiation Doses",14,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"47","boot","tau","Tau Particle Decay Modes",60,2,FALSE,"FALSE",TRUE,FALSE,TRUE
"48","boot","tuna","Tuna Sighting Data",64,1,FALSE,"FALSE",TRUE,FALSE,FALSE
"49","boot","urine","Urine Analysis Data",79,7,FALSE,"TRUE",TRUE,FALSE,FALSE
"50","boot","wool","Australian Relative Wool Prices",309,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"51","carData","Adler","Experimenter Expectations",108,3,FALSE,"TRUE",TRUE,FALSE,TRUE
"52","carData","AMSsurvey","American Math Society Survey Data",24,5,FALSE,"TRUE",TRUE,FALSE,TRUE
"53","carData","Angell","Moral Integration of American Cities",43,4,FALSE,"FALSE",TRUE,FALSE,TRUE
"54","carData","Anscombe","U. S. State Public-School Expenditures",51,4,FALSE,"FALSE",TRUE,FALSE,FALSE
"55","carData","Arrests","Arrests for Marijuana Possession",5226,8,FALSE,"TRUE",TRUE,FALSE,TRUE
"56","carData","Baumann","Methods of Teaching Reading Comprehension",66,6,FALSE,"FALSE",TRUE,FALSE,TRUE
"57","carData","BEPS","British Election Panel Study",1525,10,FALSE,"TRUE",TRUE,FALSE,TRUE
"58","carData","Bfox","Canadian Women's Labour-Force Participation",30,6,FALSE,"FALSE",TRUE,FALSE,FALSE
"59","carData","Blackmore","Exercise Histories of Eating-Disordered and Control Subjects",945,4,FALSE,"TRUE",TRUE,FALSE,TRUE
"60","carData","Burt","Fraudulent Data on IQs of Twins Raised Apart",27,3,FALSE,"FALSE",TRUE,FALSE,TRUE
"61","carData","CanPop","Canadian Population Data",16,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"62","carData","Chile","Voting Intentions in the 1988 Chilean Plebiscite",2700,8,FALSE,"TRUE",TRUE,FALSE,TRUE
"63","carData","Chirot","The 1907 Romanian Peasant Rebellion",32,5,FALSE,"FALSE",TRUE,FALSE,FALSE
"64","carData","Cowles","Cowles and Davis's Data on Volunteering",1421,4,FALSE,"TRUE",TRUE,FALSE,TRUE
"65","carData","Davis","Self-Reports of Height and Weight",200,5,FALSE,"TRUE",TRUE,FALSE,TRUE
"66","carData","DavisThin","Davis's Data on Drive for Thinness",191,7,FALSE,"FALSE",TRUE,FALSE,FALSE
"67","carData","Depredations","Minnesota Wolf Depredation Data",434,5,FALSE,"FALSE",TRUE,FALSE,FALSE
"68","carData","Duncan","Duncan's Occupational Prestige Data",45,4,FALSE,"FALSE",TRUE,FALSE,TRUE
"69","carData","Ericksen","The 1980 U.S. Census Undercount",66,9,FALSE,"TRUE",TRUE,FALSE,TRUE
"70","carData","Florida","Florida County Voting",67,11,FALSE,"FALSE",TRUE,FALSE,FALSE
"71","carData","Freedman","Crowding and Crime in U. S. Metropolitan Areas",110,4,FALSE,"FALSE",TRUE,FALSE,FALSE
"72","carData","Friendly","Format Effects on Recall",30,2,FALSE,"FALSE",TRUE,FALSE,TRUE
"73","carData","Ginzberg","Data on Depression",82,6,FALSE,"FALSE",TRUE,FALSE,FALSE
"74","carData","Greene","Refugee Appeals",384,7,FALSE,"TRUE",TRUE,FALSE,TRUE
"75","carData","GSSvocab","Data from the General Social Survey (GSS) from the National Opinion Research Center of the University of Chicago.",28867,8,FALSE,"TRUE",TRUE,FALSE,TRUE
"76","carData","Guyer","Anonymity and Cooperation",20,3,FALSE,"TRUE",TRUE,FALSE,TRUE
"77","carData","Hartnagel","Canadian Crime-Rates Time Series",38,8,FALSE,"FALSE",TRUE,FALSE,FALSE
"78","carData","Highway1","Highway Accidents",39,12,FALSE,"FALSE",TRUE,FALSE,TRUE
"79","carData","KosteckiDillon","Treatment of Migraine Headaches",4152,9,FALSE,"TRUE",TRUE,FALSE,TRUE
"80","carData","Leinhardt","Data on Infant-Mortality",105,4,FALSE,"TRUE",TRUE,FALSE,TRUE
"81","carData","LoBD","Cancer drug data use to provide an example of the use of the skew power distributions.",84,9,FALSE,"FALSE",TRUE,FALSE,TRUE
"82","carData","Mandel","Contrived Collinear Data",8,3,FALSE,"FALSE",TRUE,FALSE,FALSE
"83","carData","Migration","Canadian Interprovincial Migration Data",90,8,FALSE,"FALSE",TRUE,FALSE,TRUE
"84","carData","Moore","Status, Authoritarianism, and Conformity",45,4,FALSE,"TRUE",TRUE,FALSE,TRUE
"85","carData","MplsDemo","Minneapolis Demographic Data 2015, by Neighborhood",84,8,FALSE,"FALSE",TRUE,TRUE,FALSE
"86","carData","MplsStops","Minneapolis Police Department 2017 Stop Data",51920,14,FALSE,"TRUE",TRUE,FALSE,TRUE
"87","carData","Mroz","U.S. Women's Labor-Force Participation",753,8,FALSE,"TRUE",TRUE,FALSE,TRUE
"88","carData","OBrienKaiser","O'Brien and Kaiser's Repeated-Measures Data",16,17,FALSE,"TRUE",TRUE,FALSE,TRUE
"89","carData","Ornstein","Interlocking Directorates Among Major Canadian Firms",248,4,FALSE,"FALSE",TRUE,FALSE,TRUE
"90","carData","Pottery","Chemical Composition of Pottery",26,6,FALSE,"FALSE",TRUE,FALSE,TRUE
"91","carData","Prestige","Prestige of Canadian Occupations",102,6,FALSE,"FALSE",TRUE,FALSE,TRUE
"92","carData","Quartet","Four Regression Datasets",11,6,FALSE,"TRUE",TRUE,FALSE,FALSE
"93","carData","Robey","Fertility and Contraception",50,3,FALSE,"FALSE",TRUE,FALSE,TRUE
"94","carData","Sahlins","Agricultural Production in Mazulu Village",20,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"95","carData","Salaries","Salaries for Professors",397,6,FALSE,"TRUE",TRUE,FALSE,TRUE
"96","carData","SLID","Survey of Labour and Income Dynamics",7425,5,FALSE,"TRUE",TRUE,FALSE,TRUE
"97","carData","Soils","Soil Compositions of Physical and Chemical Characteristics",48,14,FALSE,"FALSE",TRUE,FALSE,TRUE
"98","carData","States","Education and Related Statistics for the U.S. States",51,7,FALSE,"FALSE",TRUE,FALSE,TRUE
"99","carData","TitanicSurvival","Survival of Passengers on the Titanic",1309,4,FALSE,"TRUE",TRUE,FALSE,TRUE
"100","carData","Transact","Transaction data",261,3,FALSE,"FALSE",TRUE,FALSE,FALSE
"101","carData","UN","National Statistics from the United Nations, Mostly From 2009-2011",213,7,FALSE,"FALSE",TRUE,FALSE,TRUE
"102","carData","USPop","Population of the United States",22,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"103","carData","Vocab","Vocabulary and Education",30351,4,FALSE,"TRUE",TRUE,FALSE,TRUE
"104","carData","WeightLoss","Weight Loss Data",34,7,FALSE,"FALSE",TRUE,FALSE,TRUE
"105","carData","Wells","Well Switching in Bangladesh",3020,5,FALSE,"TRUE",TRUE,FALSE,TRUE
"106","carData","Womenlf","Canadian Women's Labour-Force Participation",263,4,FALSE,"TRUE",TRUE,FALSE,TRUE
"107","carData","Wong","Post-Coma Recovery of IQ",331,7,FALSE,"TRUE",TRUE,FALSE,TRUE
"108","carData","Wool","Wool data",27,4,FALSE,"FALSE",TRUE,FALSE,FALSE
"109","carData","WVS","World Values Surveys",5381,6,FALSE,"TRUE",TRUE,FALSE,TRUE
"110","cluster","agriculture","European Union Agricultural Workforces",12,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"111","cluster","animals","Attributes of Animals",20,6,FALSE,"TRUE",TRUE,FALSE,FALSE
"112","cluster","chorSub","Subset of C-horizon of Kola Data",61,10,FALSE,"FALSE",TRUE,FALSE,FALSE
"113","cluster","flower","Flower Characteristics",18,8,FALSE,"TRUE",TRUE,FALSE,TRUE
"114","cluster","plantTraits","Plant Species Traits Data",136,31,FALSE,"TRUE",TRUE,FALSE,TRUE
"115","cluster","pluton","Isotopic Composition Plutonium Batches",45,4,FALSE,"FALSE",TRUE,FALSE,FALSE
"116","cluster","ruspini","Ruspini Data",75,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"117","cluster","votes.repub","Votes for Republican Candidate in Presidential Elections",50,31,FALSE,"FALSE",TRUE,FALSE,FALSE
"118","cluster","xclara","Bivariate Data Set with 3 Clusters",3000,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"119","COUNT","affairs","affairs",601,18,FALSE,"TRUE",TRUE,FALSE,FALSE
"120","COUNT","azcabgptca","azcabgptca",1959,6,FALSE,"TRUE",TRUE,FALSE,FALSE
"121","COUNT","azdrg112","azdrg112",1798,4,FALSE,"TRUE",TRUE,FALSE,FALSE
"122","COUNT","azpro","azpro",3589,6,FALSE,"TRUE",TRUE,FALSE,FALSE
"123","COUNT","azprocedure","azprocedure",3589,6,FALSE,"TRUE",TRUE,FALSE,FALSE
"124","COUNT","badhealth","badhealth",1127,3,FALSE,"TRUE",TRUE,FALSE,FALSE
"125","COUNT","fasttrakg","fasttrakg",15,9,FALSE,"TRUE",TRUE,FALSE,FALSE
"126","COUNT","fishing","fishing",147,7,FALSE,"TRUE",TRUE,FALSE,TRUE
"127","COUNT","lbw","lbw",189,10,FALSE,"TRUE",TRUE,FALSE,FALSE
"128","COUNT","lbwgrp","lbwgrp",6,7,FALSE,"TRUE",TRUE,FALSE,FALSE
"129","COUNT","loomis","loomis",410,11,FALSE,"TRUE",TRUE,FALSE,FALSE
"130","COUNT","mdvis","mdvis",2227,13,FALSE,"TRUE",TRUE,FALSE,FALSE
"131","COUNT","medpar","medpar",1495,10,FALSE,"TRUE",TRUE,TRUE,FALSE
"132","COUNT","nuts","nuts",52,8,FALSE,"FALSE",TRUE,FALSE,FALSE
"133","COUNT","rwm","rwm",27326,4,FALSE,"FALSE",TRUE,FALSE,FALSE
"134","COUNT","rwm1984","rwm1984",3874,15,FALSE,"TRUE",TRUE,FALSE,FALSE
"135","COUNT","rwm5yr","rwm5yr",19609,17,FALSE,"TRUE",TRUE,FALSE,FALSE
"136","COUNT","ships","ships",40,7,FALSE,"TRUE",TRUE,FALSE,FALSE
"137","COUNT","smoking","smoking",6,4,FALSE,"TRUE",TRUE,FALSE,FALSE
"138","COUNT","titanic","titanic",1316,4,FALSE,"TRUE",FALSE,FALSE,TRUE
"139","COUNT","titanicgrp","titanicgrp",12,5,FALSE,"TRUE",TRUE,FALSE,FALSE
"140","DAAG","ACF1","Aberrant Crypt Foci in Rat Colons",22,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"141","DAAG","ais","Australian athletes data set",202,13,FALSE,"TRUE",TRUE,FALSE,TRUE
"142","DAAG","allbacks","Measurements on a Selection of Books",15,4,FALSE,"TRUE",TRUE,FALSE,TRUE
"143","DAAG","anesthetic","Anesthetic Effectiveness",30,4,FALSE,"TRUE",TRUE,FALSE,FALSE
"144","DAAG","ant111b","Averages by block of corn yields, for treatment 111 only",32,9,FALSE,"FALSE",TRUE,FALSE,TRUE
"145","DAAG","antigua","Averages by block of yields for the Antigua Corn data",288,7,FALSE,"FALSE",TRUE,FALSE,TRUE
"146","DAAG","appletaste","Tasting experiment that compared four apple varieties",60,3,FALSE,"FALSE",TRUE,FALSE,TRUE
"147","DAAG","aulatlong","Latitudes and longitudes for ten Australian cities",10,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"148","DAAG","austpop","Population figures for Australian States and Territories",9,10,FALSE,"FALSE",TRUE,FALSE,FALSE
"149","DAAG","biomass","Biomass Data",153,8,FALSE,"FALSE",TRUE,FALSE,TRUE
"150","DAAG","bomregions","Australian and Related Historical Annual Climate Data, by region",109,22,FALSE,"FALSE",TRUE,FALSE,FALSE
"151","DAAG","bomregions2011","Australian and Related Historical Annual Climate Data, by region",112,22,FALSE,"FALSE",TRUE,FALSE,FALSE
"152","DAAG","bomregions2012","Australian and Related Historical Annual Climate Data, by region",113,22,FALSE,"FALSE",TRUE,FALSE,FALSE
"153","DAAG","bomsoi","Southern Oscillation Index Data",106,21,FALSE,"FALSE",TRUE,FALSE,FALSE
"154","DAAG","bomsoi2001","Southern Oscillation Index Data",102,15,FALSE,"FALSE",TRUE,FALSE,FALSE
"155","DAAG","bostonc","Boston Housing Data - Corrected",517,1,FALSE,"FALSE",FALSE,FALSE,TRUE
"156","DAAG","carprice","US Car Price Data",48,9,FALSE,"FALSE",TRUE,FALSE,TRUE
"157","DAAG","Cars93.summary","A Summary of the Cars93 Data set",6,4,FALSE,"FALSE",TRUE,FALSE,TRUE
"158","DAAG","cerealsugar","Percentage of Sugar in Breakfast Cereal",100,1,FALSE,"FALSE",TRUE,FALSE,FALSE
"159","DAAG","cfseal","Cape Fur Seal Data",30,11,FALSE,"FALSE",TRUE,FALSE,FALSE
"160","DAAG","cities","Populations of Major Canadian Cities (1992-96)",25,7,FALSE,"FALSE",TRUE,FALSE,TRUE
"161","DAAG","codling","Dose-mortality data, for fumigation of codling moth with methyl bromide",99,10,FALSE,"TRUE",TRUE,TRUE,TRUE
"162","DAAG","cottonworkers","Occupation and wage profiles of British cotton workers",14,3,FALSE,"FALSE",TRUE,FALSE,FALSE
"163","DAAG","cps1","Labour Training Evaluation Data",15992,10,FALSE,"TRUE",TRUE,FALSE,FALSE
"164","DAAG","cps2","Labour Training Evaluation Data",2369,10,FALSE,"TRUE",TRUE,FALSE,FALSE
"165","DAAG","cps3","Labour Training Evaluation Data",429,10,FALSE,"TRUE",TRUE,FALSE,FALSE
"166","DAAG","cricketer","Lifespans of UK 1st class cricketers born 1840-1960",5960,8,FALSE,"TRUE",TRUE,FALSE,TRUE
"167","DAAG","cuckoohosts","Comparison of cuckoo eggs with host eggs",10,12,FALSE,"FALSE",TRUE,FALSE,FALSE
"168","DAAG","cuckoos","Cuckoo Eggs Data",120,4,FALSE,"FALSE",TRUE,FALSE,TRUE
"169","DAAG","dengue","Dengue prevalence, by administrative region",2000,13,FALSE,"TRUE",TRUE,FALSE,FALSE
"170","DAAG","dewpoint","Dewpoint Data",72,3,FALSE,"FALSE",TRUE,FALSE,FALSE
"171","DAAG","droughts","Periods Between Rain Events",2042,2,FALSE,"FALSE",TRUE,FALSE,TRUE
"172","DAAG","edcCO2","EPICA Dome C Ice Core 800KYr Carbon Dioxide Data",1096,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"173","DAAG","edcT","EPICA Dome C Ice Core 800KYr Temperature Estimates",5788,5,FALSE,"FALSE",TRUE,FALSE,FALSE
"174","DAAG","elastic1","Elastic Band Data Replicated",7,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"175","DAAG","elastic2","Elastic Band Data Replicated Again",9,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"176","DAAG","elasticband","Elastic Band Data",7,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"177","DAAG","fossilfuel","Fossil Fuel Data",5,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"178","DAAG","fossum","Female Possum Measurements",43,14,FALSE,"TRUE",TRUE,FALSE,TRUE
"179","DAAG","frogs","Frogs Data",212,10,FALSE,"TRUE",TRUE,FALSE,FALSE
"180","DAAG","frostedflakes","Frosted Flakes data",100,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"181","DAAG","fruitohms","Electrical Resistance of Kiwi Fruit",128,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"182","DAAG","gaba","Effect of pentazocine on post-operative pain (average VAS scores)",9,7,FALSE,"FALSE",TRUE,FALSE,FALSE
"183","DAAG","geophones","Seismic Timing Data",56,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"184","DAAG","greatLakes","Yearly averages of Great Lake heights: 1918 - 2009",92,4,FALSE,"FALSE",TRUE,FALSE,FALSE
"185","DAAG","grog","Alcohol consumption in Australia and New Zealand",18,5,FALSE,"TRUE",TRUE,FALSE,TRUE
"186","DAAG","head.injury","Minor Head Injury (Simulated) Data",3121,11,FALSE,"TRUE",TRUE,FALSE,FALSE
"187","DAAG","headInjury","Minor Head Injury (Simulated) Data",3121,11,FALSE,"TRUE",TRUE,FALSE,FALSE
"188","DAAG","hills","Scottish Hill Races Data",35,3,FALSE,"FALSE",TRUE,FALSE,FALSE
"189","DAAG","hills2000","Scottish Hill Races Data - 2000",56,4,FALSE,"FALSE",TRUE,FALSE,FALSE
"190","DAAG","hotspots","Hawaian island chain hotspot Potassium-Argon ages",35,6,FALSE,"FALSE",TRUE,TRUE,FALSE
"191","DAAG","hotspots2006","Hawaian island chain hotspot Argon-Argon ages",10,6,FALSE,"TRUE",TRUE,FALSE,FALSE
"192","DAAG","houseprices","Aranda House Prices",15,3,FALSE,"FALSE",TRUE,FALSE,FALSE
"193","DAAG","humanpower1","Oxygen uptake versus mechanical power, for humans",28,3,FALSE,"FALSE",TRUE,FALSE,TRUE
"194","DAAG","humanpower2","Oxygen uptake versus mechanical power, for humans",26,3,FALSE,"FALSE",TRUE,FALSE,TRUE
"195","DAAG","hurricNamed","Named US Atlantic Hurricanes",94,12,FALSE,"TRUE",TRUE,TRUE,TRUE
"196","DAAG","intersalt","Blood pressure versus Salt; inter-population data",52,4,FALSE,"FALSE",TRUE,TRUE,FALSE
"197","DAAG","ironslag","Iron Content Measurements",53,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"198","DAAG","jobs","Canadian Labour Force Summary Data (1995-96)",24,7,FALSE,"FALSE",TRUE,FALSE,FALSE
"199","DAAG","kiwishade","Kiwi Shading Data",48,4,FALSE,"FALSE",TRUE,FALSE,TRUE
"200","DAAG","leafshape","Full Leaf Shape Data Set",286,9,FALSE,"TRUE",TRUE,FALSE,TRUE
"201","DAAG","leafshape17","Subset of Leaf Shape Data Set",61,8,FALSE,"TRUE",TRUE,FALSE,FALSE
"202","DAAG","leaftemp","Leaf and Air Temperature Data",62,4,FALSE,"FALSE",TRUE,FALSE,TRUE
"203","DAAG","leaftemp.all","Full Leaf and Air Temperature Data Set",62,9,FALSE,"FALSE",TRUE,FALSE,TRUE
"204","DAAG","litters","Mouse Litters",20,3,FALSE,"FALSE",TRUE,FALSE,FALSE
"205","DAAG","Lottario","Ontario Lottery Data",39,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"206","DAAG","lung","Cape Fur Seal Lung Measurements",30,1,FALSE,"FALSE",TRUE,FALSE,FALSE
"207","DAAG","Manitoba.lakes","The Nine Largest Lakes in Manitoba",9,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"208","DAAG","measles","Deaths in London from measles",311,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"209","DAAG","medExpenses","Family Medical Expenses",33,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"210","DAAG","mifem","Mortality Outcomes for Females Suffering Myocardial Infarction",1295,10,FALSE,"TRUE",TRUE,FALSE,TRUE
"211","DAAG","mignonette","Darwin's Wild Mignonette Data",24,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"212","DAAG","milk","Milk Sweetness Study",17,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"213","DAAG","modelcars","Model Car Data",12,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"214","DAAG","monica","WHO Monica Data",6367,12,FALSE,"TRUE",TRUE,FALSE,TRUE
"215","DAAG","moths","Moths Data",41,4,FALSE,"FALSE",TRUE,FALSE,TRUE
"216","DAAG","nassCDS","Airbag and other influences on accident fatalities",26217,15,FALSE,"TRUE",TRUE,TRUE,TRUE
"217","DAAG","nasshead","Documentation of names of columns in nass9702cor",56,3,FALSE,"FALSE",FALSE,TRUE,FALSE
"218","DAAG","nihills","Record times for Northern Ireland mountain running events",23,4,FALSE,"FALSE",TRUE,FALSE,FALSE
"219","DAAG","nsw74demo","Labour Training Evaluation Data",445,10,FALSE,"TRUE",TRUE,FALSE,FALSE
"220","DAAG","nsw74psid1","Labour Training Evaluation Data",2675,10,FALSE,"TRUE",TRUE,FALSE,FALSE
"221","DAAG","nsw74psid3","Labour Training Evaluation Data",313,10,FALSE,"TRUE",TRUE,FALSE,FALSE
"222","DAAG","nsw74psidA","A Subset of the nsw74psid1 Data Set",252,10,FALSE,"TRUE",TRUE,FALSE,FALSE
"223","DAAG","nswdemo","Labour Training Evaluation Data",722,10,FALSE,"TRUE",TRUE,FALSE,FALSE
"224","DAAG","nswpsid1","Labour Training Evaluation Data",2787,10,FALSE,"TRUE",TRUE,FALSE,FALSE
"225","DAAG","oddbooks","Measurements on 12 books",12,4,FALSE,"FALSE",TRUE,FALSE,FALSE
"226","DAAG","orings","Challenger O-rings Data",23,4,FALSE,"TRUE",TRUE,FALSE,FALSE
"227","DAAG","ozone","Ozone Data",45,11,FALSE,"FALSE",TRUE,FALSE,FALSE
"228","DAAG","pair65","Heated Elastic Bands",9,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"229","DAAG","possum","Possum Measurements",104,14,FALSE,"TRUE",TRUE,FALSE,TRUE
"230","DAAG","possumsites","Possum Sites",7,3,FALSE,"FALSE",TRUE,FALSE,FALSE
"231","DAAG","poxetc","Deaths from various causes, in London from 1629 till 1881, with gaps",253,5,FALSE,"FALSE",TRUE,FALSE,FALSE
"232","DAAG","primates","Primate Body and Brain Weights",5,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"233","DAAG","progression","Progression of Record times for track races, 1912 - 2008",227,4,FALSE,"FALSE",TRUE,TRUE,FALSE
"234","DAAG","psid1","Labour Training Evaluation Data",2490,10,FALSE,"TRUE",TRUE,FALSE,FALSE
"235","DAAG","psid2","Labour Training Evaluation Data",253,10,FALSE,"TRUE",TRUE,FALSE,FALSE
"236","DAAG","psid3","Labour Training Evaluation Data",128,10,FALSE,"TRUE",TRUE,FALSE,FALSE
"237","DAAG","races2000","Scottish Hill Races Data - 2000",77,5,FALSE,"FALSE",TRUE,TRUE,FALSE
"238","DAAG","rainforest","Rainforest Data",65,7,FALSE,"FALSE",TRUE,FALSE,TRUE
"239","DAAG","rareplants","Rare and Endangered Plant Species",4,3,FALSE,"FALSE",TRUE,FALSE,FALSE
"240","DAAG","rice","Genetically Modified and Wild Type Rice Data",72,7,FALSE,"TRUE",TRUE,FALSE,TRUE
"241","DAAG","rockArt","Pacific Rock Art features",103,641,FALSE,"TRUE",TRUE,TRUE,FALSE
"242","DAAG","roller","Lawn Roller Data",10,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"243","DAAG","science","School Science Survey Data",1385,7,FALSE,"TRUE",TRUE,FALSE,TRUE
"244","DAAG","seedrates","Barley Seeding Rate Data",5,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"245","DAAG","socsupport","Social Support Data",95,20,FALSE,"TRUE",TRUE,FALSE,TRUE
"246","DAAG","softbacks","Measurements on a Selection of Paperback Books",8,2,FALSE,"FALSE",TRUE,FALSE,FALSE
"247","DAAG","sorption","sorption data set",192,14,FALSE,"FALSE",TRUE,FALSE,TRUE
"248","DAAG","SP500close","Closing Numbers for S and P 500 Index",2780,1,FALSE,"FALSE",TRUE,FALSE,FALSE
